"This is the book of a new student from my college.","これはわたしのだいがくのあたらしいがくせいのほんです。"
"The lobby over there is the headquarters of my company.","そこにあるロビーはわたしの会社のしゅようじむしょです。"
"Is that person a teacher of your university or a student?","あのひとはあなたの大学のせんせいですか、がくせいですか。"
"This pencil costs 100 yen, and that pen costs 1,000 yen.","このえんぴつはひゃくえんです、そしてあのボールペンはせんえんです。"
"That is Rahim's bank card; it is not Mina's.","あれはロヒムさんのぎんこうカードです、ミナさんのではありません。"
"Excuse me, is that gentleman a Japanese language teacher?","しつれいですが、あのかたはにほんごのせんせいですか。"
"Is this computer in our meeting room or in the classroom?","このコンピューターはわたしたちのかいぎしつですか、きょうしつですか。"
"That dictionary you see over there belongs to my Indian friend.","あれはじしょで、わたしのインドのともだちのです。"
"That telephone belongs to an American researcher who works here.","あのでんわはアメリカのけんきゅうしゃのです、ここではたらきます。"
"This clock belongs to an engineer, which he received from his company.","このとけいはエンジニアのです、かれは自分の会社からそれをもらいました。"
"Is that escalator on the 7th floor or the 8th floor?","あのエスカレーターはななかいですか、はちかいですか。"
"Is this book Japanese, English, or German?","このほんはにほんごですか、えいごですか、ドイツごですか。"
"He is a Japanese teacher and his wife is a Chinese doctor.","かれはにほんごのせんせいです、そしてかれのつまはちゅうごくのいしゃです。"
"Whose suitcase is this? Is it that bank employee's?","このかばんはだれのですか。それはあのぎんこういんのですか。"
"Is that book your new telephone or an old book?","あのほんはあなたのあたらしいでんわですか、それともふるいほんですか。"
"This notebook is mine, that one is his, and that one is our teacher's.","このノートはわたしのです、あれはかれのです、そしてそれはわたしたちのせんせいのです。"
"This key is not like my house or office key.","このかぎはわたしのおうちのや会社の鍵じゃありません。"
"This chocolate is very good, and that coffee is also very good.","このチョコレートはとてもいいです、そしてあのコーヒーもとてもいいです。"
"Is this camera very expensive? Does it cost 20,000 yen?","このカメラはとても高いですか。これはにまんえんですか。"
"Is he a bank employee in your office?","かれはあなたの会社のぎんこういんですか。"
"Yes, he is a bank employee of our company.","はい、かれはわたしたちの会社のぎんこういんです。"
"No, he is not a bank employee of our company.","いいえ、かれはわたしたちの会社のぎんこういんじゃありません。"
"This umbrella is not mine; it belongs to a student of our class.","このかさはわたしのではありません、これはわたしたちのクラスのがくせいです。"
"This pen is yours, that pencil is mine, and that book is yours.","このボールペンはあなたのです、あのえんぴつはわたしのです、そしてそのほんはあなたのです。"
"Is this camera Mina's or Rahim's?","このカメラはミナさんのですか、ロヒムさんのですか。"
"Is this car very expensive?","このじどうしゃはとても高いですか。"
"No, this car is not that expensive.","いいえ、このじどうしゃはそれほど高くありません。"
"Is that lobby your company's or another company's?","あのロビーはあなたの会社のですか、それともべつの会社のですか。"
"Whose glasses are those?","あのめがねはだれのですか。"
"Is that lady a teacher or a researcher?","あのかたはせんせいですか、けんきゅうしゃですか。"
"I am a student, not an employee.","わたしはがくせいです、かいしゃいんじゃありません。"
"Is that a telephone or a television?","あれはでんわですか、テレビですか。"
"This is our company, and that is a university.","これはわたしたちの会社です、そしてそれは大学です。"
"Is that a hospital or an office?","あれはびょういんですか、それともじむしょですか。"
"That is a hospital.","あれはびょういんです。"
"Is this a new book or an old book?","これはあたらしいほんですか、ふるいほんですか。"
"Is this my key or your key?","これはわたしのかぎですか、あなたのかぎですか。"
"This bag is mine, and that book is my friend's.","このかばんはわたしのです、そしてあのほんはわたしのともだちのです。"
"Is my car here or there?","わたしのじどうしゃはここですか、そこですか。"
"How much are these glasses?","このめがねはいくらですか。"
"Is that bag a student of our class's?","あれはわたしたちのクラスのがくせいのかばんですか。"
"That telephone card belongs to my friend.","あのテレホンカードはわたしのともだちのです。"
"He is Japanese, but his wife is Chinese.","かれはにほんじんです、しかし、かれのつまはちゅうごくじんです。"
"I am Rahim's wife and I am a teacher.","わたしはロヒムさんのつまです、そしてわたしはせんせいです。"
"Is this watch yours, or is that watch yours?","このとけいはあなたのですか、それともあのとけいはあなたのですか。"
"Is that person Mina's father?","あのひとはミナさんのおとうさんですか。"
"This is my lobby and this is the reception of my company.","ここはわたしのロビーです、そしてここはわたしの会社のうけつけです。"
"Is that an elevator or an escalator?","あれはエレベーターですか、エスカレーターですか。"
"Is that person Mr. Rahim's student?","あのひとはロヒムさんの学生ですか。"
"Is this notebook yours or your friend's?","このノートはあなたのですか、それともあなたのともだちのですか。"
